,gen,bestFit,worstFit,meanFit,Nrepeats,orgulho,decpcao
102,102,0.09720055138860627,0.00018670827586019537,0.06961852036064035,16.8,16.2,852.2
103,103,0.09565875331710051,0.00018670827586019537,0.06798715139248271,15.0,15.0,856.0
104,104,0.09565875331710051,0.00018359902821238897,0.06689374357427968,14.4,14.0,860.4
105,105,0.09565875331710051,0.00018123624608485988,0.06485014776145412,14.0,14.2,864.6
106,106,0.09565875331710051,0.00018328422987139368,0.06594271201612205,14.0,15.2,868.6
107,107,0.09565875331710051,0.00014845140750227565,0.06965219553945115,15.0,16.4,871.4
108,108,0.09880067217597363,0.00018670827586019537,0.0711813821093021,14.6,14.8,875.0
109,109,0.09880067217597363,0.00018670827586019537,0.07093673916070667,16.0,14.6,878.0
110,110,0.09565875331710051,0.00018670827586019537,0.06627443319234876,13.8,14.4,882.8
111,111,0.09565875331710051,0.00013864112468345204,0.06565431856124601,13.4,14.2,887.4
112,112,0.09565875331710051,0.00018670827586019537,0.06465391687116359,13.6,14.2,891.6
113,113,0.09565875331710051,0.0001861291505037032,0.06378273927489941,13.2,14.4,896.4
114,114,0.09565875331710051,0.00013631090016859017,0.0654283248691404,13.8,13.4,900.6
115,115,0.09565875331710051,6.646749107886267e-05,0.06569190092991874,14.4,14.4,905.0
116,116,0.09565875331710051,0.00010072152025236418,0.06445582832457207,13.6,14.2,910.0
117,117,0.09721197566990127,0.00017221762956650525,0.06619909919108999,14.4,13.6,915.2
118,118,0.12201421563948192,0.00018670827586019537,0.06390462445858411,13.2,14.4,918.8
119,119,0.09565875331710051,0.00018178976610629726,0.061487500152758445,12.2,12.2,924.6
120,120,0.09721197566990127,0.00017906711956311582,0.05919645159975882,12.4,14.6,927.2
121,121,0.09721197566990127,0.00013597630474126944,0.06430431753703995,16.2,13.0,932.2
122,122,0.09721197566990127,0.00018670827586019537,0.06734209818663076,17.4,14.0,937.0
123,123,0.09721197566990127,0.00018670827586019537,0.06765543591376554,17.2,15.6,941.0
124,124,0.09721197566990127,0.00018670827586019537,0.06446433563314878,15.0,13.8,946.4
125,125,0.09721197566990127,0.00010649940583230396,0.06356019098212971,14.0,14.8,950.8
126,126,0.09721197566990127,0.00017852233012689294,0.06065949133865458,14.0,13.4,956.2
127,127,0.09721197566990127,0.00014628228098053161,0.05733795059655955,12.0,13.4,960.4
128,128,0.09721197566990127,0.00018328422987139368,0.05940602481247413,10.8,13.2,965.6
129,129,0.09721197566990127,0.00010521488100439988,0.060632558371916744,11.8,13.4,971.0
130,130,0.09721197566990127,0.00018670827586019537,0.06073469053201626,12.2,11.6,977.4
131,131,0.09721197566990127,0.00017852233012676828,0.06207262222408583,11.8,13.4,982.0
132,132,0.09721197566990127,0.0001392842444148882,0.0670017451989841,14.2,15.6,985.2
133,133,0.09721197566990127,6.552862151629264e-05,0.0670416242785408,15.2,14.0,989.2
134,134,0.09721197566990127,0.00011054521836514998,0.066234705671908,15.6,13.8,993.4
135,135,0.09721197566990127,0.00010448333430040743,0.06500532567409453,14.2,13.6,998.2
136,136,0.0974177995204905,0.00018670827586019537,0.06530899461000392,14.4,13.6,1003.0
137,137,0.09721197566990127,0.00018328422987139368,0.05961947490052455,12.8,12.8,1009.4
138,138,0.09721197566990127,0.00018074862750199917,0.06034904071006305,12.4,13.4,1015.2
139,139,0.09721197566990127,0.00017906711956311582,0.06073381798049533,11.8,11.2,1022.4
140,140,0.09721197566990127,9.803505425274297e-05,0.05708632604927022,10.8,12.8,1028.8
141,141,0.09721197566990127,0.00010053975747410775,0.05783300760749514,12.8,13.2,1034.4
142,142,0.09721197566990127,0.00014208878574852997,0.06132913342886383,15.4,12.8,1039.2
143,143,0.09721197566990127,0.00010072152025236417,0.06126815169998109,15.4,14.0,1044.4
144,144,0.09721197566990127,0.00018074862750199917,0.06442021255096742,16.8,14.6,1047.4
145,145,0.09721197566990127,0.00018328422987139368,0.06723384475576975,15.8,15.0,1050.4
146,146,0.09941471158019674,0.0001844505455495766,0.0629075591382321,14.2,14.0,1055.6
147,147,0.09721197566990127,0.00018328422987139368,0.06745605208915174,13.0,15.0,1059.8
148,148,0.09721197566990127,0.00018322638323492783,0.06501326939661237,14.0,14.8,1063.4
149,149,0.09721197566990127,0.00018328422987139368,0.06327214128979003,13.0,14.4,1067.8
150,150,0.09721197566990127,0.00018670827586019537,0.06032274275904185,13.6,13.8,1073.2
151,151,0.09721197566990127,0.00013109829868158574,0.05216590464199152,10.4,12.2,1079.4
152,152,0.09721197566990127,0.0001457374915443087,0.0489555481167551,6.8,11.0,1086.8
153,153,0.09721197566990127,0.00018670827586019537,0.05080738098340232,8.6,12.0,1092.8
